id_estacion;nombre_estacion;long_estacion;lat_estacion;domicilio_estacion;tipo_estacion;observaciones;horario_estacion
110.0;Guardia Vieja;-58.415.459.396.243;-346.017.606.028.946;Guardia Vieja 3606 entre Billinghurst y Mario Bravo;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
111.0;Macacha Güemes;-583.629.996.585.557;-346.049.691.631.744;Macacha Guemes y Juana Manso;;;
112.0;9 de Julio;-5.838.076.631.152.280;-346.123.893.028.971;9 de Julio y Moreno;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
113.0;Guatemala;-5.842.520.465.764.970;-345.856.694.443.182;Guatemala 4799 entre J.L. Borges y Gurruchaga;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
114.0;Della Paolera;-583.725.350.641.629;-345.947.530.965.532;Carlos M. Della Paolera 297 entre Leandro N Alem y Eduardo Madero;AUTOMÁTICA;nov-16;Estación automática: disponibilidad las 24 horas
115.0;Quintana;-583.907.862.838.861;-345.878.120.499.245;Manuel Quintana 600;AUTOMÁTICA;nov-16;Estación automática: disponibilidad las 24 horas
116.0;Hospital Alemán;-584.025.983.842.195;-3.459.210.424.090.080;Beruti y Ecuador;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
117.0;Humberto Primo;-583.742.180.079.119;-346.199.404.395.595;Perú 1016 entre Humberto Primo y Carlos Calvo;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
118.0;México;-584.028.266.768.832;-346.168.125.831.672;Saavedra y México;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
119.0;Emilio Mitre;-58.397.684.271.763.200;-345.883.718.391.208;Plaza Emilio Mitre - Larrea y Pacheco de Melo;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
120.0;Hospital Ramos Mejía;-58.409.110.475.451.700;-346.175.490.894.938;Agrelo entre  Gral. Urquiza, y Gral. La Rioja;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
121.0;Yatay;-58.428.267.593.013.400;-346.008.183.886.904;Yatay 925 entre Humahuaca y Guardia Vieja;AUTOMÁTICA;nov-16;Estación automática: disponibilidad las 24 horas
122.0;Costa Rica;-584.204.074.371.223;-345.916.244.590.276;Costa Rica 4090 y Acuña de Figueroa;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
123.0;Armenia;-58.421.044.153.603.700;-345.854.242.215.495;Armenia 2393 y Charcas;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
124.0;Ugarteche;-58.412.313.560.298.300;-345.810.816.066.871;Ugarteche entre Cabello y Las Heras;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
125.0;Oro;-584.282.171.673.392;-345.834.801.072.487;Fray Justo Santamaria de Oro y Guatemala;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
126.0;Ministerio de Justicia y Seguridad;-58.369.430.546.477.300;-3.463.997.121.461.620;Regimiento de Patricios y Aráoz de Lamadrid;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
127.0;Santos Dumont y Otero;-584.529.268.261.496;-345.922.124.775.116;Santos Dumont 4380 y Otero;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
128.0;Plaza Hipólito Bouchard;-583.682.319.681.783;-346.041.288.551.832;Plaza Hipólito Bouchard - Av Eduardo Madero y Perón Juan;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
129.0;Velasco;-58.434.954.874.725.700;-34.600.164.664.861.100;Velasco 285 entre Julián Álvarez y Lavalleja;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
130.0;Retiro II;-583.742.850.966.173;-345.919.408.626.661;Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
131.0;Retiro III;-583.742.100.283.191;-345.918.464.928.405;Plaza Fuerza Aérea: Av. Dr. J. Ramos Mejia y Av Del Libertador;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
132.0;Corrientes;-583.736.760.826.555;-346.031.208.697.631;Av Corrientes y San Martín;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
133.0;Nicaragua;-584.343.825.082.215;-34.581.039.917.576;Nicaragua 5690 entre Bonpland y Fitz Roy;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
134.0;Don Bosco;-584.155.158.417.582;-346.118.758.790.199;Don Bosco y Virrey LIniers;AUTOMÁTICA;ene-17;Estación automática: disponibilidad las 24 horas
135.0;Marcelo T. de Alvear;-583.797.648.546.651;-34.596.455.762.618.100;Marcelo T de Alvear y Suipacha;AUTOMÁTICA;feb-17;Estación automática: disponibilidad las 24 horas
136.0;Acevedo;-584.429.012.738.521;-345.998.125.732.878;Acevedo y Padilla;AUTOMÁTICA;ene-17;Estación automática: disponibilidad las 24 horas
137.0;Azopardo y Chile;-583.674.700.069.781;-346.159.263.966.689;Azopardo 700 y Chile;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
138.0;Hospital Británico;-58.387.766.665.448.300;-346.349.489.594.118;Perdriel y Finochietto Enrique;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
139.0;Virrey Liniers;-5.841.315.046.869.150;-346.333.089.848.092;Salcedo 3401 y Virrey Liniers;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
140.0;Las Casas;-58.415.775.044.145.700;-34.635.148.035.031;Las Casas 3587 entre Av. Boedo y Alzaga;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
141.0;Solís y Alsina;-583.904.105.537.014;-34.611.837.952.645.100;Solís 225 y Adolfo Alsina;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
142.0;Armenia y Gorriti;-584.288.881.956.896;-34.590.554.215.665.900;Armenia 1525 entre Gorriti y Honduras;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
